Date(MM/DD/YYYY),Hour,Solar Radiance(w/m^2),Temperature(C),Solar Power(kW)
1/1/2008,0,-2.8865,4.8469,0
1/1/2008,1,-2.9432,4.3895,0
1/1/2008,2,-3.3385,3.6565,0
1/1/2008,3,-3.1641,2.8669,0
1/1/2008,4,-3.0899,1.6784,0
1/1/2008,5,-3.0476,1.1034,0
1/1/2008,6,-2.3841,0.468,0
1/1/2008,7,-0.5663,0.2553,0
1/1/2008,8,94.6729,1.0247,26.50548897
1/1/2008,9,270.5294,2.9413,75.09175859
1/1/2008,10,426.1466,4.9049,117.2409732
1/1/2008,11,430.1065,6.6277,117.4041821
1/1/2008,12,439.0228,7.9042,119.1375075
1/1/2008,13,513.5925,9.6447,138.2560836
1/1/2008,14,373.996,9.7662,100.6207253
1/1/2008,15,306.2265,10.2332,82.20910685
1/1/2008,16,137.5719,10.375,36.9079613
1/1/2008,17,10.9336,10.0155,2.938193162
1/1/2008,18,-3.2755,9.453,0
1/1/2008,19,-3.2583,8.4055,0
1/1/2008,20,-2.8031,6.9922,0
1/1/2008,21,-2.3763,6.1618,0
1/1/2008,22,-2.2774,5.5602,0
1/1/2008,23,-2.9949,5.7025,0
1/2/2008,0,-2.9991,5.2661,0
1/2/2008,1,-2.3807,4.2224,0
1/2/2008,2,-1.8416,3.9904,0
1/2/2008,3,-1.9522,4.1466,0
1/2/2008,4,-1.468,4.2826,0
1/2/2008,5,-1.7514,4.7942,0
1/2/2008,6,-2.2496,4.5513,0
1/2/2008,7,-1.3265,4.5224,0
1/2/2008,8,47.8348,3.6653,13.23437638
1/2/2008,9,114.7361,5.2314,31.51924008
1/2/2008,10,227.625,7.3816,61.91923538
1/2/2008,11,379.4103,8.8787,102.4983091
1/2/2008,12,541.9443,10.0237,145.6314755
1/2/2008,13,544.0282,11.0348,145.5038783
1/2/2008,14,495.852,12.6085,131.6434376
1/2/2008,15,316.6106,13.5345,83.69027354
1/2/2008,16,107.4591,13.396,28.42346925
1/2/2008,17,8.5827,12.6517,2.278152193
1/2/2008,18,-2.7074,11.8195,0
1/2/2008,19,-2.7875,11.3615,0
1/2/2008,20,-2.7234,10.023,0
1/2/2008,21,-2.6997,8.905,0
1/2/2008,22,-2.3886,7.8148,0
1/2/2008,23,-1.6753,7.2255,0
1/3/2008,0,-1.5754,7.3688,0
1/3/2008,1,-1.9552,6.9027,0
1/3/2008,2,-1.9988,6.2021,0
1/3/2008,3,-1.697,5.9294,0
1/3/2008,4,-1.6381,5.7852,0
1/3/2008,5,-2.378,5.5678,0
1/3/2008,6,-2.2821,4.9384,0
1/3/2008,7,-1.1883,4.7873,0
1/3/2008,8,52.5194,5.7377,14.39440555
1/3/2008,9,175.9922,6.836,47.9939529
1/3/2008,10,286.0423,9.4002,77.08832834
1/3/2008,11,341.1996,11.198,91.1864461
1/3/2008,12,335.839,11.6152,89.57867231
1/3/2008,13,369.647,12.1837,98.33363356
1/3/2008,14,270.7019,12.4217,71.93168714
1/3/2008,15,139.496,12.4625,37.06016388
1/3/2008,16,56.2216,12.3187,14.94660372
1/3/2008,17,4.0183,11.8773,1.070488682
1/3/2008,18,-2.3172,11.5235,0
1/3/2008,19,-2.4079,11.0197,0
1/3/2008,20,-1.4977,10.2658,0
1/3/2008,21,-0.9114,10.6565,0
1/3/2008,22,-1.2782,9.8155,0
1/3/2008,23,-0.8896,9.7378,0
1/4/2008,0,-0.7077,9.8995,0
1/4/2008,1,-1.0952,9.7548,0
1/4/2008,2,-1.2006,9.6418,0
1/4/2008,3,-0.9637,9.1598,0
1/4/2008,4,-0.6684,8.9895,0
1/4/2008,5,-1.9696,8.2807,0
1/4/2008,6,-1.1297,7.9476,0
1/4/2008,7,0.6652,8.5817,0.179951817
1/4/2008,8,55.564,8.8107,15.01542783
1/4/2008,9,112.8986,10.0483,30.3346825
1/4/2008,10,190.8708,10.6008,51.15318353
1/4/2008,11,359.4516,12.0777,95.66907676
1/4/2008,12,316.0415,14.1692,83.28910285
1/4/2008,13,291.8649,15.5422,76.41672481
1/4/2008,14,171.4551,15.8483,44.82515705
1/4/2008,15,162.9151,16.9258,42.37303638
1/4/2008,16,60.3438,15.9367,15.76959245
1/4/2008,17,1.0175,15.5553,0.266387478
1/4/2008,18,-1.3474,14.1263,0
1/4/2008,19,-1.5908,13.3113,0
1/4/2008,20,-1.3012,13.5542,0
1/4/2008,21,-1.8554,13.7107,0
1/4/2008,22,-2.7615,13.4647,0
1/4/2008,23,-1.3854,13.7185,0
1/5/2008,0,-1.4592,13.482,0
1/5/2008,1,-1.2851,13.6813,0
1/5/2008,2,-3.7523,14.159,0
1/5/2008,3,-3.9744,12.742,0
1/5/2008,4,-1.009,11.5445,0
1/5/2008,5,-1.6064,12.696,0
1/5/2008,6,-1.2153,12.6375,0
1/5/2008,7,0.0865,12.4967,0.022976919
1/5/2008,8,23.3589,12.8457,6.194613848
1/5/2008,9,64.4881,13.172,17.07548156
1/5/2008,10,128.9234,13.948,34.01192677
